DISTRITO,TOTAL
TOTAL,122568
AVEIRO,66161
BEJA,334
BRAGA,7232
BRAGANÇA,462
CASTELO BRANCO,293
COIMBRA,1428
ÉVORA,240
FARO,1383
GUARDA,338
LEIRIA,2018
LISBOA,7269
PORTALEGRE,200
PORTO,23898
SANTARÉM,1897
SETÚBAL,2415
VIANA DO CASTELO,1257
VILA REAL,370
VISEU,1138
REGIÃO AUTÓNOMA DOS AÇORES,2066
REGIÃO AUTÓNOMA DA MADEIRA,2169
